date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:28	146/146	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Jun%202025%2002:39:29%20GMT	https://web.archive.org/robots.txt		(from )
21:39:29	72108/72108	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jun%202025%2002:39:29%20GMT	https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/	./collegebound_archive/web.archive.org/web/20250326115756/https_/www.collegeboundstl.org/index.html	(from )
21:39:29	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2025%20Jun%202025%2002:39:30%20GMT	https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/wp-json/wp/v2/pages/4	./collegebound_archive/web.archive.org/web/20250326115756/https_/www.collegeboundstl.org/wp-json/wp/v2/pages/4	(from https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/)
21:39:31	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2025%20Jun%202025%2002:39:31%20GMT	https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.collegeboundstl.org%2F	./collegebound_archive/web.archive.org/web/20250326115756/https_/www.collegeboundstl.org/wp-json/oembed/1.0/embedbc36	(from https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/)
21:39:32	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2025%20Jun%202025%2002:39:31%20GMT	https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/feed/	./collegebound_archive/web.archive.org/web/20250326115756/https_/www.collegeboundstl.org/feed/index.html	(from https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/)
21:39:32	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2025%20Jun%202025%2002:39:32%20GMT	https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/comments/feed/	./collegebound_archive/web.archive.org/web/20250326115756/https_/www.collegeboundstl.org/comments/feed/index.html	(from https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/)
21:39:32	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2025%20Jun%202025%2002:39:32%20GMT	https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.collegeboundstl.org%2F&format=xml	./collegebound_archive/web.archive.org/web/20250326115756/https_/www.collegeboundstl.org/wp-json/oembed/1.0/embed7153	(from https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/)
21:39:33	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2025%20Jun%202025%2002:39:33%20GMT	https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/apply	./collegebound_archive/web.archive.org/web/20250326115756/https_/www.collegeboundstl.org/apply	(from https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/)
21:40:57	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2025%20Jun%202025%2002:39:34%20GMT	https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/about/	./collegebound_archive/web.archive.org/web/20250326115756/https_/www.collegeboundstl.org/about/index.html	(from https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/)
21:40:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2025%20Jun%202025%2002:39:34%20GMT	https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/about/what-we-do/	./collegebound_archive/web.archive.org/web/20250326115756/https_/www.collegeboundstl.org/about/what-we-do/index.html	(from https://web.archive.org/web/20250326115756/https://www.collegeboundstl.org/)
